LMids,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
15.5,110.5129093,124.8130774,126.4134715,125.1731596,123.8274543,122.6926886,121.9114641,120.2221856,118.7790486,117.5271218,116.2576943,115.3885242,114.6213372,114.1598144,113.6059754,113.3047353,112.914354,112.7032925,112.3184472,112.0589475,111.9270106,111.7679393,111.5267955,111.4058289,111.4257913,111.1530705,111.3061417,111.0557177,110.9785391,110.8904539,110.9959031,110.9523888,111.0511291,110.8290072,110.9278713,110.78854,110.8291359,110.8734665,110.8620865,110.867375,110.6470022,110.9066839,110.7985525,110.8649704,110.7553191,110.6914716,110.8017101,110.7837639,110.5886374,110.704894
16,185.0106266,208.9389226,211.5533914,209.471118,207.2210516,205.3248977,204.021816,201.2453517,198.8260386,196.7287199,194.6067803,193.1365574,191.8483844,191.0646718,190.1418213,189.628097,188.9787172,188.6194518,187.9832232,187.5429293,187.3170763,187.0531171,186.6527904,186.4441918,186.4735574,186.027697,186.2674893,185.8658011,185.7288721,185.5807799,185.7495897,185.6826693,185.8437698,185.4845021,185.6370388,185.4135604,185.4732458,185.5477425,185.5311242,185.5408323,185.1789399,185.594264,185.4289144,185.5332703,185.3575346,185.2473314,185.4248218,185.4018862,185.0811497,185.262658
16.5,233.5134899,263.6685837,266.7036464,264.0503794,261.2202657,258.8447368,257.1872107,253.8979025,250.8333834,248.1772252,245.522157,243.6058356,241.9719682,240.9336202,239.7932568,239.1029384,238.3051094,237.8218316,237.0551786,236.4788495,236.1722215,235.8460677,235.3580346,235.0737157,235.0853276,234.5789529,234.8020618,234.3721248,234.167291,233.9832963,234.1601414,234.1041226,234.2807946,233.8884713,234.0207366,233.7840122,233.8254709,233.9189239,233.9084692,233.9176352,233.5038614,233.9374692,233.7981966,233.8968031,233.7084859,233.5609105,233.7521074,233.7471661,233.3759197,233.5463853
17,256.8822481,289.9186089,292.4628033,289.4650565,286.3803045,283.8196793,281.957519,278.9697745,275.5712954,272.6227781,269.7704851,267.4852346,265.6637411,264.3770142,263.1935729,262.3116587,261.4973401,260.8784388,260.1413293,259.447883,259.0468787,258.7080668,258.2221174,257.8482627,257.7855045,257.3939222,257.4066269,257.1582667,256.8406741,256.6464815,256.734629,256.7558868,256.8721323,256.6197729,256.5894624,256.4610463,256.408269,256.5085943,256.5279568,256.5288528,256.2004504,256.4120812,256.4608448,256.4733995,256.3638349,256.1775985,256.2912908,256.3552921,256.046354,256.0624045
17.5,315.5944249,355.9307756,357.5260859,353.6723343,349.9331294,346.884882,344.5301569,341.9983565,337.7985637,334.1283675,330.7479453,327.6239243,325.3367153,323.494658,322.1641239,320.862411,319.9721423,319.0568166,318.3401505,317.3850859,316.7753716,316.3929668,315.8888218,315.321258,315.1055252,314.9205729,314.5220863,314.6139618,314.065646,313.8385473,313.7550115,313.9268393,313.9316555,313.9424279,313.5943952,313.6684862,313.4309254,313.5460131,313.6254376,313.6110851,313.4363259,313.2217899,313.6365267,313.4862516,313.5243398,313.2560909,313.2203429,313.4207351,313.2234691,312.9372464
18,450.8590468,508.2467878,508.7899929,503.0155883,497.7129914,493.4543096,490.0445816,487.4236679,481.5042568,476.2206041,471.5001217,466.7744042,463.439574,460.5777501,458.7646626,456.7263205,455.533477,454.1008819,453.2301395,451.7927635,450.8109663,450.2850103,449.6497525,448.7526067,448.3139806,448.2977441,447.3915384,447.8349381,446.9479294,446.619885,446.3338311,446.6904711,446.5891068,446.8735826,446.1319512,446.414021,445.9436948,446.0858848,446.2475355,446.2182428,446.1676944,445.4652436,446.3275259,445.9985884,446.1896957,445.7870821,445.5788349,445.9567224,445.8453171,445.1840721
18.5,617.1869513,695.5912028,694.3196821,685.901688,678.6382274,672.8823537,668.2380235,665.0592132,657.3200765,650.0791601,643.6638198,637.1327488,632.4623954,628.4438025,625.9321883,623.1073448,621.4509671,619.4723635,618.3041739,616.3621227,614.9461889,614.2042072,613.3812319,612.1450389,611.4616395,611.5050032,610.2078965,610.8299337,609.684291,609.1907432,608.7337533,609.2147303,609.0713902,609.5342785,608.5073476,608.8805288,608.2473283,608.384647,608.6235768,608.5951963,608.6048638,607.5428118,608.7028825,608.3037884,608.5760144,608.06545,607.704334,608.2107079,608.1631705,607.204399
19,735.9193966,829.2275618,823.9193235,812.6816893,803.9460248,797.1850575,791.7613454,788.0591665,779.7496646,771.1538335,763.5202315,755.8371797,750.0518179,745.2188768,742.0507298,738.7707766,736.6508163,734.3711073,732.8856488,730.7147202,728.9470923,727.979314,727.0361004,725.6306848,724.7252121,724.6969778,723.3445364,723.806048,722.7311953,722.0298938,721.4769002,721.9145406,721.8412429,722.3164456,721.3130984,721.5430947,720.9496646,720.9821814,721.2628024,721.2702391,721.2917168,720.1622428,721.2111002,720.988533,721.2047003,720.7255328,720.2523471,720.7298314,720.7815205,719.7561901
19.5,795.0646671,895.5756463,882.8543245,868.2586955,858.5891773,851.4534089,845.8228921,841.8200157,834.5429955,825.4037292,817.1729386,809.1166251,802.4856363,797.2143382,793.4519654,790.0924321,787.5259377,785.2230535,783.4254065,781.3556526,779.3293786,778.1206474,777.1514608,775.7788844,774.6608431,774.4314283,773.3850995,773.3220812,772.6999397,771.7546821,771.1639565,771.363999,771.4753459,771.8054239,771.1701525,771.0042444,770.6710423,770.4780743,770.7552444,770.8410585,770.8504367,769.9556515,770.4297997,770.6557142,770.6818255,770.4006885,769.8477588,770.109722,770.3273214,769.4913
20,849.5592163,956.569387,933.321067,913.7576464,902.8515144,895.4201662,889.7241655,885.4502302,879.8745439,870.5060647,861.7530265,853.4744114,845.9323391,840.1997146,835.7358636,832.3504411,829.2730593,826.9911098,824.8379577,822.9629282,820.683595,819.1678561,818.1763741,816.9068983,815.5524436,815.0284856,814.4314083,813.6802408,813.6486405,812.460561,811.81991,811.6795693,812.0149732,812.1469913,812.0322214,811.3685302,811.364683,810.9008085,811.135126,811.3245141,811.321283,810.7935654,810.480644,811.2494841,811.0613157,811.0425249,810.4296912,810.3743295,810.7820799,810.2651377
